Time Cl
1e-05 2.0946206e-11
2e-05 -6.5426717e-12
3e-05 -7.3241302e-12
4e-05 -6.6677951e-12
5e-05 -5.1304516e-12
6e-05 -4.3635501e-12
7e-05 -3.6837751e-12
8e-05 -3.2635206e-12
9e-05 -2.8660898e-12
0.0001 -2.4321206e-12
0.00011 -2.1246574e-12
0.00012 -1.8807166e-12
0.00013 -1.6461582e-12
0.00014 -1.4100222e-12
0.00015 -1.1994923e-12
0.00016 -1.0306274e-12
0.00017 -8.6746456e-13
0.00018 -7.3730846e-13
0.00019 -6.2413158e-13
0.0002 -5.1195718e-13
0.00021 -4.1747569e-13
0.00022 -3.2864016e-13
0.00023 -2.6866516e-13
0.00024 -2.1575370e-13
0.00025 -1.7389840e-13
0.00026 -1.3020990e-13
0.00027 -1.0472054e-13
0.00028 -5.8083729e-14
0.00029 -2.2095136e-14
0.0003 -2.3771017e-15
